q,alpha,regime,N,count,variance_f,normalized_variance_f,excess_f,excess_f_low95,excess_f_high95,excess_g,wick,rhat_f,rhat_f_squared,ess_f,ess_f_fourth,q_mean_energy,q_variance_energy
0.5,1.75,localized,32,24000,19.25841420377151,0.044730943739833086,0.5294407587305239,0.41483464281099086,0.6532983621777542,0.5305748790099485,0.2675890491584593,1.0001889884942141,1,14985.123037027752,20296.56392709108,0.999295351713881,0.9766149375506192
0.5,1.75,localized,64,24000,69.51044662887237,0.04799932438923951,0.4707220162440562,0.3665478532953512,0.5702653486222209,0.2838320867174202,0.20967395679368078,1.0000397960252774,1.0002137293126443,14699.0719244567,18256.227755582437,1.0001114746566735,0.9878927967568361
0.5,1.75,localized,128,24000,252.56979343962828,0.051851814918152966,0.33681079206828635,0.2306929705970468,0.459808902817986,0.2390714453541829,0.19632014719662863,1.0000837146613601,1.0000870547474767,13249.14987531654,16473.256560551614,1.000560753478889,1.0221318346264026
0.5,1.75,localized,256,24000,897.7590202689153,0.05479486207696016,0.34293783381180987,0.2342703980918911,0.44995854303248156,0.17182591856197282,0.11794766230579906,1.0001133469164083,1.0000436869915978,11941.651290197393,19983.129270420657,0.9994555345096224,0.9841325857301938
0.5,1.75,localized,512,24000,3159.9133811014667,0.05733934746701307,0.10877610425969086,0.04298801855959558,0.17705487720983326,0.05703814634336046,0.0917102837305009,1,1.0001628586155953,10957.097394801147,18191.80138390574,0.9995583746790031,0.9883431352500344
0.5,2,lower-critical,32,24000,141.86442193851212,0.003328029290851023,1.414559409681317,0.8255650462631142,2.299358611249882,0.6773698667675561,0.3797756096312413,1.0000116018486325,1,9569.175354412435,10786.212955263665,1.0016936918811674,1.014217097644645
0.5,2,lower-critical,64,24000,652.1394695574961,0.002213351573308634,0.6629028381264579,0.5317646264168091,0.8065375118688223,0.47683616422279584,0.28171447343071687,1.0003533155337738,1.0000441603353787,8189.396035953281,12491.988526374196,1.000755685969211,1.005780243165377
0.5,2,lower-critical,128,24000,3002.7022753092397,0.0016044339036652994,0.8110909007269838,0.5952922036839368,1.0822331632566615,0.4309611846361494,0.2577360021869516,1,1.0006360105879375,5676.588821104293,9665.135072416553,0.9989453504760125,1.0210506244368953
0.5,2,lower-critical,256,24000,14400.262104177336,0.0012886771328576327,0.5202476014406074,0.40348034159070395,0.6434010634212577,0.30402390839065374,0.23818664421298022,1.0005772607506105,1.000059021554957,5258.502492866987,10873.667124440663,1.0004176513671594,1.012906640999792
0.5,2,lower-critical,512,24000,67300.16900357725,0.0010574803872878515,0.6001744726814935,0.38753987771446724,0.8171171872779734,0.2864035689476716,0.24706817564243416,1.0004681138801081,1.0006036707420825,3255.6098895431937,7012.358210172382,1.0005089483624474,1.0020503714420173
0.5,2.125,rough-mid,32,24000,336.9395290345876,0.05816704732181606,1.1367843231955481,0.88160471453114,1.3927406431579004,0.6041759095236428,0.31043123665611994,1.0002069814420553,1.0001238934323677,7022.24182795924,10638.07558213903,0.9993233347980991,0.9913145886358574
0.5,2.125,rough-mid,64,24000,1836.4573373224641,0.05604423026496776,0.891276798010102,0.7321459147638391,1.070544340989437,0.46603709386236325,0.3568277084813499,1.0012933391269745,1.0001911974361617,4926.448387776438,10094.217549350804,1.0005882334605936,1.0079876136267198
0.5,2.125,rough-mid,128,24000,9702.807322553816,0.052344672045320825,0.567290977736878,0.4293782149530597,0.7124673324371914,0.42730518139985696,0.2510693062221712,1.0008943127345333,1.0004203411845265,3796.4772719340035,7627.039032279325,0.9998038235626973,0.9758259599837205
0.5,2.125,rough-mid,256,24000,51396.33643346577,0.04901536601397111,0.5357721446478609,0.40459454055755106,0.674348019725539,0.5150786713562776,0.2276743028581126,1.0013663252636864,1.000358473585982,2363.903228838612,6047.35490418323,0.9994989876457475,0.9650433177827812
0.5,2.125,rough-mid,512,24000,306366.4031608369,0.05164951353138913,0.5305674465082904,0.35241001199275457,0.7170549846221762,0.3865787590245189,0.24418823522018757,1.0046655266053122,1.0005123607258162,1268.4119646249028,4209.066189740736,1.0006220843840308,1.0050780833909305
0.5,2.2,rough-high,32,24000,526.2828256710058,0.032121754496521264,1.1319167247785806,0.8303370424591047,1.491114280412978,0.844751175797064,0.47332523101759605,1.0003388543489846,1.0002591350870038,6440.616024973795,10710.83975320453,0.9989247140171743,1.0127140370029188
0.5,2.2,rough-high,64,24000,3101.8049103251556,0.027183824142549294,0.8079943625209367,0.6101695665537381,1.026763718309951,0.5301737427293021,0.3109555681281396,1.0001305441867614,1.0004246677712176,4041.705788614494,7548.767024096851,1.0010441859499881,0.9847063083382365
