"covid_measure_id","location_id","date_reported","data_type_id","scenario_id","mean","upper","lower","dt_mean","dt_upper","dt_lower","data_class_id.x","date","location_name","covid_measure_name","data_class_id.y","definition","datatype","scenario_name"
1,145,2020-01-19,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-19,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-20,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-20,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-21,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-21,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-22,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-22,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-23,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-23,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-24,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-24,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-25,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-25,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-26,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-26,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-27,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-27,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-28,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-28,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-29,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-29,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-30,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-30,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-31,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-31,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-01,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-01,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-02,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-02,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-03,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-03,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-04,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-04,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-05,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-05,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-06,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-06,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-07,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-07,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-08,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-08,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-09,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-09,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-10,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-10,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-11,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-11,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-12,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-12,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-13,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-13,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-02-14,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-02-14,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
