"covid_measure_id","location_id","date_reported","data_type_id","scenario_id","mean","upper","lower","dt_mean","dt_upper","dt_lower","data_class_id.x","location_name","covid_measure_name","data_class_id.y","definition","datatype","scenario_name"
4,145,2020-01-31,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-01,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-02,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-03,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-04,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-05,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-06,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-07,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-08,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-09,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-10,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-11,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-12,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-13,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-14,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-15,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-16,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-17,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
4,145,2020-02-18,1,6,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,"Kuwait","deaths",1,"daily covid deaths (raw when observed)","Observed","Current Prediciton/Observed"
