Kuwait,KWT,"Apr 16, 2020",3,-2
Kuwait,KWT,"Apr 17, 2020",3,-1
Kuwait,KWT,"Apr 18, 2020",5,0
Kuwait,KWT,"Apr 19, 2020",6,1
Kuwait,KWT,"Apr 20, 2020",7,2
Kuwait,KWT,"Apr 21, 2020",9,3
Kuwait,KWT,"Apr 22, 2020",11,4
Kuwait,KWT,"Apr 23, 2020",13,5
Kuwait,KWT,"Apr 24, 2020",14,6
Kuwait,KWT,"Apr 25, 2020",15,7
Kuwait,KWT,"Apr 26, 2020",19,8
Kuwait,KWT,"Apr 27, 2020",20,9
Kuwait,KWT,"Apr 28, 2020",22,10
Kuwait,KWT,"Apr 29, 2020",23,11
Kuwait,KWT,"Apr 30, 2020",24,12
Kuwait,KWT,"May 1, 2020",26,13
Kuwait,KWT,"May 2, 2020",30,14
Kuwait,KWT,"May 3, 2020",33,15
Kuwait,KWT,"May 4, 2020",38,16
Kuwait,KWT,"May 5, 2020",40,17
Kuwait,KWT,"May 6, 2020",40,18
Kuwait,KWT,"May 7, 2020",42,19
Kuwait,KWT,"May 8, 2020",44,20
Kuwait,KWT,"May 9, 2020",47,21
Kuwait,KWT,"May 10, 2020",49,22
Kuwait,KWT,"May 11, 2020",58,23
Kuwait,KWT,"May 12, 2020",65,24
Kuwait,KWT,"May 13, 2020",75,25
Kuwait,KWT,"May 14, 2020",82,26
Kuwait,KWT,"May 15, 2020",88,27
Kuwait,KWT,"May 16, 2020",96,28
Kuwait,KWT,"May 17, 2020",107,29
Kuwait,KWT,"May 18, 2020",112,30
Kuwait,KWT,"May 19, 2020",118,31
Kuwait,KWT,"May 20, 2020",121,32
Kuwait,KWT,"May 21, 2020",124,33
Kuwait,KWT,"May 22, 2020",129,34
Kuwait,KWT,"May 23, 2020",138,35
Kuwait,KWT,"May 24, 2020",148,36
Kuwait,KWT,"May 25, 2020",156,37
Kuwait,KWT,"May 26, 2020",165,38
Kuwait,KWT,"May 27, 2020",172,39
Kuwait,KWT,"May 28, 2020",175,40
