Date,Auquan,Imperial,LANL,MIT,UCLA,Geneva,YYG
2020-06-03,230,230,230,230,230,230,230
2020-06-10,380,297,264,347,,275,286
2020-06-17,400,,312,449,,,347
2020-06-24,420,,356,559,,,410
