Date,Auquan,Imperial,LANL,MIT,UCLA,Geneva,YYG
2020-5-28,175,175,175,175,175,175,175
2020-06-03,200,229,209,308,,206,222
2020-06-10,240,,241,452,,,271
2020-06-17,280,,267,538,,,323
2020-06-24,300,,288,867,,,379
